Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-12-01,0.0,6.25,5.3125,5.3125,1200,0.0,0.0
1983-12-02,0.0,6.25,5.3125,5.3125,1400,0.0,0.0
1983-12-05,0.0,6.25,5.3125,5.3125,420,0.0,0.0
1983-12-06,0.0,5.625,5.0,5.0,2480,0.0,0.0
1983-12-07,0.0,5.3125,4.375,4.375,400,0.0,0.0
1983-12-08,0.0,5.3125,4.375,4.375,4040,0.0,0.0
1983-12-09,0.0,5.3125,4.375,4.375,400,0.0,0.0
1983-12-12,0.0,5.0,4.375,4.375,900,0.0,0.0
1983-12-13,0.0,4.6875,3.75,3.75,620,0.0,0.0
1983-12-14,3.75,3.75,3.75,3.75,0,0.0,0.0
1983-12-15,0.0,4.6875,3.75,3.75,60,0.0,0.0
1983-12-16,0.0,4.6875,3.75,3.75,2040,0.0,0.0
1983-12-19,0.0,4.6875,3.75,3.75,200,0.0,0.0
1983-12-20,3.75,3.75,3.75,3.75,0,0.0,0.0
1983-12-21,0.0,4.6875,3.75,3.75,100,0.0,0.0
1983-12-22,3.75,3.75,3.75,3.75,0,0.0,0.0
1983-12-23,0.0,4.0625,3.4375,3.4375,4500,0.0,0.0
1983-12-27,3.4375,3.4375,3.4375,3.4375,0,0.0,0.0
1983-12-28,0.0,4.375,3.4375,3.4375,200,0.0,0.0
1983-12-29,3.4375,3.4375,3.4375,3.4375,0,0.0,0.0
1983-12-30,0.0,4.375,3.4375,3.4375,400,0.0,0.0
1984-01-03,0.0,4.375,3.4375,3.4375,500,0.0,0.0
1984-01-04,0.0,4.6875,3.75,3.75,1300,0.0,0.0
1984-01-05,0.0,4.6875,4.0625,4.0625,600,0.0,0.0
1984-01-06,4.0625,4.0625,4.0625,4.0625,0,0.0,0.0
1984-01-09,0.0,4.6875,4.0625,4.0625,440,0.0,0.0
1984-01-10,4.0625,4.0625,4.0625,4.0625,0,0.0,0.0
1984-01-11,0.0,5.0,4.0625,4.0625,200,0.0,0.0
1984-01-12,0.0,4.6875,4.0625,4.0625,660,0.0,0.0
1984-01-13,0.0,4.375,4.0625,4.0625,120,0.0,0.0
1984-01-16,4.0625,4.0625,4.0625,4.0625,0,0.0,0.0
1984-01-17,0.0,4.375,4.0625,4.0625,200,0.0,0.0
1984-01-18,0.0,4.375,3.75,3.75,2700,0.0,0.0
1984-01-19,0.0,4.0625,3.75,3.75,700,0.0,0.0
1984-01-20,0.0,4.0625,3.125,3.125,1000,0.0,0.0
1984-01-23,3.125,3.125,3.125,3.125,0,0.0,0.0
1984-01-24,0.0,4.0625,3.125,3.125,1240,0.0,0.0
1984-01-25,0.0,4.0625,3.125,3.125,2400,0.0,0.0
1984-01-26,0.0,4.0625,3.125,3.125,40,0.0,0.0
1984-01-27,3.125,3.125,3.125,3.125,0,0.0,0.0
1984-01-30,3.125,3.125,3.125,3.125,0,0.0,0.0
1984-01-31,0.0,4.0625,3.125,3.125,320,0.0,0.0
1984-02-01,3.125,3.125,3.125,3.125,0,0.0,0.0
1984-02-02,3.125,3.125,3.125,3.125,0,0.0,0.0
1984-02-03,0.0,3.75,3.125,3.125,1220,0.0,0.0
1984-02-06,3.125,3.125,3.125,3.125,0,0.0,0.0
1984-02-07,0.0,3.75,3.125,3.125,1000,0.0,0.0
1984-02-08,0.0,3.4375,2.8125,2.8125,20,0.0,0.0
1984-02-09,0.0,3.4375,2.8125,2.8125,400,0.0,0.0
1984-02-10,0.0,3.4375,2.8125,2.8125,400,0.0,0.0
1984-02-13,0.0,3.4375,2.8125,2.8125,600,0.0,0.0
1984-02-14,0.0,3.75,2.8125,2.8125,100,0.0,0.0
1984-02-15,0.0,3.75,2.8125,2.8125,200,0.0,0.0
1984-02-16,0.0,3.125,2.8125,2.8125,1160,0.0,0.0
1984-02-17,2.8125,2.8125,2.8125,2.8125,0,0.0,0.0
1984-02-21,2.8125,2.8125,2.8125,2.8125,0,0.0,0.0
1984-02-22,0.0,3.125,2.5,2.5,600,0.0,0.0
1984-02-23,0.0,3.125,2.5,2.5,300,0.0,0.0
1984-02-24,2.5,2.5,2.5,2.5,0,0.0,0.0
1984-02-27,2.5,2.5,2.5,2.5,0,0.0,0.0
1984-02-28,2.5,2.5,2.5,2.5,0,0.0,0.0
1984-02-29,2.5,2.5,2.5,2.5,0,0.0,0.0
1984-03-01,0.0,3.125,2.5,2.5,100,0.0,0.0
1984-03-02,2.5,2.5,2.5,2.5,0,0.0,0.0
1984-03-05,0.0,3.125,2.5,2.5,400,0.0,0.0
1984-03-06,2.5,2.5,2.5,2.5,0,0.0,0.0
1984-03-07,0.0,3.4375,2.8125,2.8125,120,0.0,0.0
1984-03-08,0.0,3.4375,2.8125,2.8125,500,0.0,0.0
1984-03-09,0.0,3.4375,2.8125,2.8125,6000,0.0,0.0
1984-03-12,0.0,3.4375,2.8125,2.8125,180,0.0,0.0
1984-03-13,2.8125,2.8125,2.8125,2.8125,0,0.0,0.0
1984-03-14,0.0,3.4375,2.8125,2.8125,100,0.0,0.0
1984-03-15,0.0,3.4375,2.8125,2.8125,200,0.0,0.0
1984-03-16,2.8125,2.8125,2.8125,2.8125,0,0.0,0.0
1984-03-19,2.8125,2.8125,2.8125,2.8125,0,0.0,0.0
1984-03-20,2.8125,2.8125,2.8125,2.8125,0,0.0,0.0
1984-03-21,0.0,3.125,2.5,2.5,200,0.0,0.0
1984-03-22,0.0,3.125,2.5,2.5,1220,0.0,0.0
1984-03-23,0.0,3.125,2.5,2.5,300,0.0,0.0
1984-03-26,2.5,2.5,2.5,2.5,0,0.0,0.0
1984-03-27,0.0,3.125,2.1875,2.1875,1240,0.0,0.0
1984-03-28,0.0,2.5,2.1875,2.1875,1300,0.0,0.0
1984-03-29,0.0,2.5,2.1875,2.1875,680,0.0,0.0
1984-03-30,0.0,2.5,2.1875,2.1875,160,0.0,0.0
1984-04-02,0.0,2.8125,2.1875,2.1875,2000,0.0,0.0
1984-04-03,0.0,2.8125,2.1875,2.1875,2000,0.0,0.0
1984-04-04,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-04-05,0.0,2.5,2.1875,2.1875,160,0.0,0.0
1984-04-06,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-04-09,0.0,2.8125,2.1875,2.1875,200,0.0,0.0
1984-04-10,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-04-11,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-04-12,0.0,2.8125,2.1875,2.1875,460,0.0,0.0
1984-04-13,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-04-16,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-04-17,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-04-18,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-04-19,0.0,2.8125,2.1875,2.1875,200,0.0,0.0
1984-04-23,0.0,2.8125,2.1875,2.1875,340,0.0,0.0
1984-04-24,0.0,2.8125,2.1875,2.1875,1000,0.0,0.0
1984-04-25,0.0,2.8125,2.1875,2.1875,20,0.0,0.0
1984-04-26,0.0,2.5,2.1875,2.1875,2200,0.0,0.0
1984-04-27,0.0,2.5,2.1875,2.1875,660,0.0,0.0
1984-04-30,0.0,2.5,2.1875,2.1875,760,0.0,0.0
1984-05-01,0.0,2.5,2.1875,2.1875,60,0.0,0.0
1984-05-02,0.0,2.5,2.1875,2.1875,200,0.0,0.0
1984-05-03,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-05-04,0.0,2.5,2.1875,2.1875,320,0.0,0.0
1984-05-07,0.0,2.5,2.1875,2.1875,100,0.0,0.0
1984-05-08,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-05-09,0.0,2.5,2.1875,2.1875,100,0.0,0.0
1984-05-10,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-05-11,0.0,2.5,2.1875,2.1875,1000,0.0,0.0
1984-05-14,0.0,2.5,2.1875,2.1875,40,0.0,0.0
1984-05-15,0.0,2.5,2.1875,2.1875,200,0.0,0.0
1984-05-16,0.0,2.5,2.34375,2.34375,600,0.0,0.0
1984-05-17,2.34375,2.34375,2.34375,2.34375,0,0.0,0.0
1984-05-18,2.34375,2.34375,2.34375,2.34375,0,0.0,0.0
1984-05-21,0.0,2.5,2.34375,2.34375,100,0.0,0.0
1984-05-22,0.0,2.5,2.1875,2.1875,1600,0.0,0.0
1984-05-23,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-05-24,0.0,2.65625,2.34375,2.34375,200,0.0,0.0
1984-05-25,2.34375,2.34375,2.34375,2.34375,0,0.0,0.0
1984-05-29,2.34375,2.34375,2.34375,2.34375,0,0.0,0.0
1984-05-30,0.0,2.65625,2.1875,2.1875,1400,0.0,0.0
1984-05-31,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-06-01,0.0,2.5,2.1875,2.1875,1100,0.0,0.0
1984-06-04,0.0,2.5,2.1875,2.1875,40,0.0,0.0
1984-06-05,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-06-06,0.0,2.5,2.1875,2.1875,20,0.0,0.0
1984-06-07,0.0,2.5,2.1875,2.1875,400,0.0,0.0
1984-06-08,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-06-11,0.0,2.5,1.875,1.875,4200,0.0,0.0
1984-06-12,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-06-13,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-06-14,0.0,2.5,2.03125,2.03125,200,0.0,0.0
1984-06-15,0.0,2.5,2.03125,2.03125,160,0.0,0.0
1984-06-18,0.0,2.5,1.875,1.875,580,0.0,0.0
1984-06-19,0.0,2.5,1.875,1.875,3100,0.0,0.0
1984-06-20,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-06-21,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-06-22,0.0,2.5,1.875,1.875,100,0.0,0.0
1984-06-25,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-06-26,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-06-27,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-06-28,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-06-29,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-07-02,0.0,2.5,1.875,1.875,220,0.0,0.0
1984-07-03,0.0,2.5,1.875,1.875,200,0.0,0.0
1984-07-05,0.0,2.5,2.03125,2.03125,1080,0.0,0.0
1984-07-06,0.0,2.65625,2.1875,2.1875,400,0.0,0.0
1984-07-09,0.0,2.65625,2.1875,2.1875,180,0.0,0.0
1984-07-10,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-07-11,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-07-12,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-07-13,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-07-16,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-07-17,0.0,2.5,1.875,1.875,40,0.0,0.0
1984-07-18,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-07-19,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-07-20,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-07-23,0.0,2.5,1.875,1.875,140,0.0,0.0
1984-07-24,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-07-25,0.0,2.5,1.875,1.875,400,0.0,0.0
1984-07-26,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-07-27,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-07-30,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-07-31,0.0,2.5,1.71875,1.71875,100,0.0,0.0
1984-08-01,1.71875,1.71875,1.71875,1.71875,0,0.0,0.0
1984-08-02,1.71875,1.71875,1.71875,1.71875,0,0.0,0.0
1984-08-03,1.71875,1.71875,1.71875,1.71875,0,0.0,0.0
1984-08-06,1.71875,1.71875,1.71875,1.71875,0,0.0,0.0
1984-08-07,0.0,1.875,1.25,1.25,12400,0.0,0.0
1984-08-08,0.0,1.875,1.25,1.25,600,0.0,0.0
1984-08-09,0.0,1.875,1.40625,1.40625,1600,0.0,0.0
1984-08-10,1.40625,1.40625,1.40625,1.40625,0,0.0,0.0
1984-08-13,0.0,1.875,1.40625,1.40625,40,0.0,0.0
1984-08-14,0.0,1.875,1.40625,1.40625,140,0.0,0.0
1984-08-15,1.40625,1.40625,1.40625,1.40625,0,0.0,0.0
1984-08-16,0.0,1.875,1.40625,1.40625,40,0.0,0.0
1984-08-17,1.40625,1.40625,1.40625,1.40625,0,0.0,0.0
1984-08-20,1.40625,1.40625,1.40625,1.40625,0,0.0,0.0
1984-08-21,0.0,1.71875,1.40625,1.40625,260,0.0,0.0
1984-08-22,1.40625,1.40625,1.40625,1.40625,0,0.0,0.0
1984-08-23,1.40625,1.40625,1.40625,1.40625,0,0.0,0.0
1984-08-24,0.0,1.71875,1.40625,1.40625,3400,0.0,0.0
1984-08-27,0.0,1.71875,1.40625,1.40625,200,0.0,0.0
1984-08-28,0.0,1.71875,1.40625,1.40625,1000,0.0,0.0
1984-08-29,0.0,1.71875,1.40625,1.40625,2520,0.0,0.0
1984-08-30,0.0,1.71875,1.40625,1.40625,9900,0.0,0.0
1984-08-31,0.0,2.03125,1.5625,1.5625,7200,0.0,0.0
1984-09-04,0.0,2.03125,1.5625,1.5625,26960,0.0,0.0
1984-09-05,0.0,2.03125,1.5625,1.5625,1600,0.0,0.0
1984-09-06,0.0,2.03125,1.71875,1.71875,1500,0.0,0.0
1984-09-07,0.0,2.1875,1.71875,1.71875,1240,0.0,0.0
1984-09-10,0.0,2.5,2.1875,2.1875,24040,0.0,0.0
1984-09-11,0.0,2.8125,2.5,2.5,8240,0.0,0.0
1984-09-12,0.0,2.8125,2.34375,2.34375,10440,0.0,0.0
1984-09-13,0.0,2.8125,2.34375,2.34375,2000,0.0,0.0
1984-09-14,0.0,2.5,2.1875,2.1875,1600,0.0,0.0
1984-09-17,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-09-18,0.0,2.5,2.1875,2.1875,800,0.0,0.0
1984-09-19,0.0,2.5,1.875,1.875,2000,0.0,0.0
1984-09-20,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-09-21,0.0,2.1875,1.875,1.875,1200,0.0,0.0
1984-09-24,0.0,2.1875,1.875,1.875,4000,0.0,0.0
1984-09-25,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-09-26,0.0,2.1875,1.875,1.875,660,0.0,0.0
1984-09-27,0.0,2.1875,1.875,1.875,1600,0.0,0.0
1984-09-28,0.0,2.1875,1.875,1.875,1100,0.0,0.0
1984-10-01,0.0,2.1875,1.875,1.875,200,0.0,0.0
1984-10-02,0.0,2.34375,2.03125,2.03125,4600,0.0,0.0
1984-10-03,0.0,2.5,2.1875,2.1875,1000,0.0,0.0
1984-10-04,0.0,2.5,2.1875,2.1875,400,0.0,0.0
1984-10-05,0.0,2.5,2.1875,2.1875,400,0.0,0.0
1984-10-08,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-10-09,0.0,2.65625,2.1875,2.1875,800,0.0,0.0
1984-10-10,2.1875,2.1875,2.1875,2.1875,0,0.0,0.0
1984-10-11,0.0,2.65625,2.1875,2.1875,740,0.0,0.0
1984-10-12,0.0,2.65625,2.1875,2.1875,1000,0.0,0.0
1984-10-15,0.0,2.65625,2.1875,2.1875,620,0.0,0.0
1984-10-16,0.0,2.5,2.1875,2.1875,2600,0.0,0.0
1984-10-17,0.0,2.5,2.03125,2.03125,900,0.0,0.0
1984-10-18,0.0,2.5,2.03125,2.03125,220,0.0,0.0
1984-10-19,0.0,2.5,2.03125,2.03125,1000,0.0,0.0
1984-10-22,0.0,2.5,2.03125,2.03125,720,0.0,0.0
1984-10-23,0.0,2.1875,1.875,1.875,2860,0.0,0.0
1984-10-24,0.0,2.1875,1.875,1.875,600,0.0,0.0
1984-10-25,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-10-26,0.0,2.1875,1.875,1.875,400,0.0,0.0
1984-10-29,1.875,1.875,1.875,1.875,0,0.0,0.0
1984-10-30,0.0,2.1875,1.875,1.875,1900,0.0,0.0
1984-10-31,0.0,1.875,1.5625,1.5625,4280,0.0,0.0
1984-11-01,0.0,1.875,1.5625,1.5625,600,0.0,0.0
1984-11-02,0.0,1.875,1.5625,1.5625,2400,0.0,0.0
1984-11-05,0.0,1.875,1.5625,1.5625,200,0.0,0.0
1984-11-06,0.0,1.875,1.5625,1.5625,800,0.0,0.0
1984-11-07,0.0,1.875,1.5625,1.5625,1000,0.0,0.0
1984-11-08,1.5625,1.5625,1.5625,1.5625,0,0.0,0.0
1984-11-09,0.0,1.875,1.5625,1.5625,400,0.0,0.0
1984-11-12,0.0,1.875,1.5625,1.5625,20,0.0,0.0
1984-11-13,1.5625,1.5625,1.5625,1.5625,0,0.0,0.0
1984-11-14,0.0,1.875,1.5625,1.5625,80,0.0,0.0
1984-11-15,0.0,1.875,1.5625,1.5625,600,0.0,0.0
1984-11-16,1.5625,1.5625,1.5625,1.5625,0,0.0,0.0
1984-11-19,0.0,1.875,1.5625,1.5625,200,0.0,0.0
1984-11-20,0.0,1.875,1.5625,1.5625,160,0.0,0.0
1984-11-21,0.0,1.875,1.5625,1.5625,400,0.0,0.0
1984-11-23,0.0,1.875,1.5625,1.5625,1200,0.0,0.0
1984-11-26,0.0,1.875,1.25,1.25,400,0.0,0.0
1984-11-27,0.0,1.5625,1.09375,1.09375,7000,0.0,0.0
1984-11-28,0.0,1.5625,1.09375,1.09375,320,0.0,0.0
1984-11-29,0.0,1.5625,1.09375,1.09375,360,0.0,0.0
1984-11-30,0.0,1.5625,1.09375,1.09375,800,0.0,0.0
1984-12-03,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1984-12-04,0.0,1.5625,1.09375,1.09375,280,0.0,0.0
1984-12-05,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1984-12-06,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1984-12-07,0.0,1.5625,1.09375,1.09375,2000,0.0,0.0
1984-12-10,0.0,1.40625,0.9375,0.9375,940,0.0,0.0
1984-12-11,0.0,1.40625,1.09375,1.09375,200,0.0,0.0
1984-12-12,0.0,1.5625,1.09375,1.09375,160,0.0,0.0
1984-12-13,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1984-12-14,0.0,1.5625,1.09375,1.09375,40,0.0,0.0
1984-12-17,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1984-12-18,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1984-12-19,0.0,1.5625,1.09375,1.09375,40,0.0,0.0
1984-12-20,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1984-12-21,0.0,1.5625,1.09375,1.09375,40,0.0,0.0
1984-12-24,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1984-12-26,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1984-12-27,0.0,1.40625,0.9375,0.9375,120,0.0,0.0
1984-12-28,0.0,1.40625,0.9375,0.9375,880,0.0,0.0
1984-12-31,0.9375,0.9375,0.9375,0.9375,0,0.0,0.0
1985-01-02,0.9375,0.9375,0.9375,0.9375,0,0.0,0.0
1985-01-03,0.9375,0.9375,0.9375,0.9375,0,0.0,0.0
1985-01-04,0.0,1.25,0.9375,0.9375,2000,0.0,0.0
1985-01-07,0.0,1.25,0.78125,0.78125,1400,0.0,0.0
1985-01-08,0.0,1.25,0.78125,0.78125,400,0.0,0.0
1985-01-09,0.0,1.25,0.78125,0.78125,80,0.0,0.0
1985-01-10,0.78125,0.78125,0.78125,0.78125,0,0.0,0.0
1985-01-11,0.0,1.25,0.9375,0.9375,480,0.0,0.0
1985-01-14,0.0,1.40625,0.9375,0.9375,4540,0.0,0.0
1985-01-15,0.0,1.40625,0.9375,0.9375,400,0.0,0.0
1985-01-16,0.0,1.5625,1.09375,1.09375,800,0.0,0.0
1985-01-17,0.0,1.5625,1.09375,1.09375,1600,0.0,0.0
1985-01-18,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1985-01-21,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1985-01-22,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1985-01-23,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1985-01-24,0.0,1.5625,1.09375,1.09375,3000,0.0,0.0
1985-01-25,0.0,1.5625,1.09375,1.09375,1500,0.0,0.0
1985-01-28,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1985-01-29,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1985-01-30,1.09375,1.09375,1.09375,1.09375,0,0.0,0.0
1985-01-31,0.0,1.25,0.9375,0.9375,660,0.0,0.0
1985-02-01,0.0,1.25,0.9375,0.9375,20,0.0,0.0
1985-02-04,0.0,1.25,0.9375,0.9375,500,0.0,0.0
1985-02-05,0.0,1.25,0.9375,0.9375,1500,0.0,0.0
1985-02-06,0.0,1.25,0.9375,0.9375,940,0.0,0.0
1985-02-07,0.0,1.25,0.9375,0.9375,400,0.0,0.0
1985-02-08,0.0,1.25,0.9375,0.9375,200,0.0,0.0
1985-02-11,0.0,1.25,0.9375,0.9375,1660,0.0,0.0
1985-02-12,0.9375,0.9375,0.9375,0.9375,0,0.0,0.0
1985-02-13,0.9375,0.9375,0.9375,0.9375,0,0.0,0.0
1985-02-14,0.0,1.09375,0.9375,0.9375,6000,0.0,0.0
1985-02-15,0.0,1.09375,0.9375,0.9375,2600,0.0,0.0
1985-02-19,0.9375,0.9375,0.9375,0.9375,0,0.0,0.0
1985-02-20,0.0,1.5625,0.9375,0.9375,9000,0.0,0.0
1985-02-21,0.0,1.5625,1.09375,1.09375,2300,0.0,0.0
1985-02-22,0.0,1.5625,1.09375,1.09375,2900,0.0,0.0
1985-02-25,0.0,1.5625,1.25,1.25,4600,0.0,0.0
1985-02-26,0.0,1.5625,1.25,1.25,100,0.0,0.0
1985-02-27,0.0,1.5625,1.25,1.25,1200,0.0,0.0
1985-02-28,0.0,1.5625,1.25,1.25,880,0.0,0.0
1985-03-01,0.0,1.5625,1.25,1.25,800,0.0,0.0
1985-03-04,0.0,1.5625,1.25,1.25,1200,0.0,0.0
1985-03-05,0.0,1.40625,1.25,1.25,4000,0.0,0.0
1985-03-06,0.0,1.40625,1.09375,1.09375,1520,0.0,0.0
1985-03-07,0.0,1.5625,1.09375,1.09375,3200,0.0,0.0
1985-03-08,0.0,1.5625,1.25,1.25,400,0.0,0.0
1985-03-11,0.0,1.5625,1.25,1.25,400,0.0,0.0
1985-03-12,0.0,1.5625,1.25,1.25,200,0.0,0.0
1985-03-13,0.0,1.5625,1.25,1.25,160,0.0,0.0
1985-03-14,0.0,1.5625,1.25,1.25,2300,0.0,0.0
1985-03-15,0.0,1.5625,1.25,1.25,780,0.0,0.0
1985-03-18,0.0,1.5625,1.40625,1.40625,200,0.0,0.0
1985-03-19,0.0,1.875,1.40625,1.40625,1200,0.0,0.0
1985-03-20,0.0,1.875,1.40625,1.40625,200,0.0,0.0
1985-03-21,1.40625,1.40625,1.40625,1.40625,0,0.0,0.0
1985-03-22,1.40625,1.40625,1.40625,1.40625,0,0.0,0.0
1985-03-25,1.40625,1.40625,1.40625,1.40625,0,0.0,0.0
1985-03-26,1.40625,1.40625,1.40625,1.40625,0,0.0,0.0
1985-03-27,1.40625,1.40625,1.40625,1.40625,0,0.0,0.0
1985-03-28,1.40625,1.40625,1.40625,1.40625,0,0.0,0.0
1985-03-29,0.0,1.875,1.40625,1.40625,200,0.0,0.0
1985-04-01,0.0,1.875,1.40625,1.40625,120,0.0,0.0
1985-04-02,0.0,1.875,1.5625,1.5625,2280,0.0,0.0
1985-04-03,1.5625,1.5625,1.5625,1.5625,0,0.0,0.0
1985-04-04,1.5625,1.5625,1.5625,1.5625,0,0.0,0.0
1985-04-08,1.5625,1.5625,1.5625,1.5625,0,0.0,0.0
1985-04-09,0.0,2.03125,1.5625,1.5625,20,0.0,0.0
1985-04-10,0.0,2.1875,1.5625,1.5625,4000,0.0,0.0
1985-04-11,0.0,2.1875,1.5625,1.5625,9300,0.0,0.0
1985-04-12,0.0,2.1875,1.5625,1.5625,1900,0.0,0.0
1985-04-15,0.0,2.1875,1.5625,1.5625,900,0.0,0.0
1985-04-16,0.0,2.1875,1.5625,1.5625,500,0.0,0.0
1985-04-17,1.5625,1.5625,1.5625,1.5625,0,0.0,0.0
1985-04-18,0.0,2.1875,1.5625,1.5625,20,0.0,0.0
1985-04-19,1.5625,1.5625,1.5625,1.5625,0,0.0,0.0
1985-04-22,0.0,2.1875,1.5625,1.5625,640,0.0,0.0
1985-04-23,0.0,2.1875,1.5625,1.5625,2400,0.0,0.0
1985-04-24,0.0,2.1875,1.5625,1.5625,860,0.0,0.0
1985-04-25,0.0,2.1875,1.5625,1.5625,760,0.0,0.0
1985-04-26,0.0,2.1875,1.875,1.875,3040,0.0,0.0
