Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-07-16,45888.0,54000.0,45600.0,49280.0,4801,0,0.0
2015-07-17,50160.0,50512.0,46432.0,48000.0,674,0,0.0
2015-07-20,47792.0,49536.0,46928.0,48080.0,232,0,0.0
2015-07-21,47600.0,49424.0,46976.0,47680.0,197,0,0.0
2015-07-22,47808.0,48544.0,47520.0,48016.0,180,0,0.0
2015-07-23,48416.0,48784.0,46944.0,47424.0,255,0,0.0
2015-07-24,47392.0,49504.0,46576.0,47104.0,352,0,0.0
2015-07-27,47168.0,48128.0,40257.6015625,41648.0,219,0,0.0
2015-07-28,41696.0,43616.0,41616.0,42896.0,208,0,0.0
2015-07-29,44144.0,44224.0,41200.0,41728.0,63,0,0.0
2015-07-30,42720.0,43152.0,40736.0,40992.0,67,0,0.0
2015-07-31,40960.0,46320.0,40600.0,43840.0,223,0,0.0
2015-08-03,44336.0,47184.0,43200.0,45664.0,201,0,0.0
2015-08-04,46480.0,47120.0,44000.0,46800.0,109,0,0.0
2015-08-05,46448.0,48800.0,45696.0,46336.0,99,0,0.0
2015-08-06,48320.0,48400.0,44944.0,46448.0,164,0,0.0
2015-08-07,46496.0,47120.0,44000.0,45696.0,38,0,0.0
2015-08-10,46688.0,46864.0,39224.0,40016.0,148,0,0.0
2015-08-11,40576.0,40624.0,39632.0,40192.0,57,0,0.0
2015-08-12,41616.0,42800.0,40000.0,40608.0,37,0,0.0
2015-08-13,40032.0,42064.0,39832.0,39920.0,88,0,0.0
2015-08-14,39632.0,40880.0,39120.0,40608.0,144,0,0.0
2015-08-17,41312.0,45600.0,40720.0,43920.0,33,0,0.0
2015-08-18,44320.0,48320.0,42640.0,46240.0,82,0,0.0
2015-08-19,45472.0,46432.0,44800.0,46144.0,54,0,0.0
2015-08-20,45680.0,46512.0,45056.0,46320.0,67,0,0.0
2015-08-21,45408.0,47600.0,41632.0,44704.0,172,0,0.0
2015-08-24,43136.0,45656.0,41600.0,43008.0,233,0,0.0
2015-08-25,43088.0,44672.0,36272.0,41408.0,201,0,0.0
2015-08-26,42400.0,44816.0,41696.0,43856.0,253,0,0.0
2015-08-27,43696.0,47824.0,41632.0,45312.0,237,0,0.0
