Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-12-29,4.750999927520752,4.750999927520752,4.75,4.75,10000,0,0.0
2015-12-30,4.75,4.75,4.75,4.75,0,0,0.0
2015-12-31,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-04,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-05,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-06,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-07,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-08,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-11,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-12,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-13,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-14,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-15,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-19,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-20,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-21,4.75,4.75,4.75,4.75,0,0,0.0
2016-01-22,4.75,4.800000190734863,4.730000019073486,4.735000133514404,8200,0,0.0
2016-01-25,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-01-26,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-01-27,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-01-28,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-01-29,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-01,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-02,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-03,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-04,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-05,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-08,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-09,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-10,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-11,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-12,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-16,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-17,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-18,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-19,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-22,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-23,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-24,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-25,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-02-26,4.75,4.800000190734863,4.710000038146973,4.71999979019165,5800,0,0.0
2016-02-29,4.71999979019165,4.71999979019165,4.71999979019165,4.71999979019165,0,0,0.0
2016-03-01,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,200,0,0.0
2016-03-02,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-03,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-04,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-07,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-08,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-09,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-10,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-11,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-14,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-15,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-16,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-17,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-18,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-21,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-22,4.735000133514404,4.735000133514404,4.735000133514404,4.735000133514404,0,0,0.0
2016-03-23,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,2000,0,0.0
2016-03-24,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-03-28,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-03-29,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-03-30,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-03-31,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-04-01,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-04-04,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-04-05,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-04-06,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-04-07,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-04-08,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-04-11,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-04-12,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-04-13,4.789999961853027,4.789999961853027,4.789999961853027,4.789999961853027,0,0,0.0
2016-04-14,4.795000076293945,4.800000190734863,4.775000095367432,4.775000095367432,1200,0,0.0
2016-04-15,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
2016-04-18,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
2016-04-19,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
2016-04-20,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
2016-04-21,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
2016-04-22,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
2016-04-25,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
2016-04-26,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
2016-04-27,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
2016-04-28,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
2016-04-29,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
2016-05-02,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
2016-05-03,4.775000095367432,4.775000095367432,4.775000095367432,4.775000095367432,0,0,0.0
