Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-09,4.5,4.75,3.390000104904175,3.5799999237060547,3501900,0,0
2021-03-10,3.7200000286102295,4.789999961853027,3.700000047683716,4.789999961853027,5115900,0,0
2021-03-11,4.900000095367432,4.949999809265137,4.599999904632568,4.71999979019165,1185300,0,0
2021-03-12,4.800000190734863,5.0,4.730000019073486,5.0,633200,0,0
2021-03-15,5.199999809265137,5.199999809265137,4.75,4.96999979019165,691400,0,0
2021-03-16,4.980000019073486,4.989999771118164,4.769999980926514,4.84499979019165,504800,0,0
2021-03-17,4.829999923706055,4.889999866485596,4.75,4.889999866485596,335700,0,0
2021-03-18,4.889999866485596,4.900000095367432,4.71999979019165,4.760000228881836,202900,0,0
2021-03-19,4.800000190734863,4.826000213623047,4.699999809265137,4.71999979019165,143700,0,0
2021-03-22,4.75,4.840000152587891,4.699999809265137,4.75,164800,0,0
2021-03-23,4.760000228881836,4.789999961853027,4.53000020980835,4.559999942779541,263200,0,0
2021-03-24,4.550000190734863,4.650000095367432,4.519999980926514,4.550000190734863,137700,0,0
2021-03-25,4.599999904632568,4.699999809265137,4.519999980926514,4.570000171661377,97200,0,0
2021-03-26,4.519999980926514,4.599999904632568,4.510000228881836,4.539999961853027,146600,0,0
2021-03-29,4.579999923706055,4.579999923706055,4.5,4.5,313500,0,0
2021-03-30,4.510000228881836,4.559999942779541,4.46999979019165,4.510000228881836,171400,0,0
2021-03-31,4.550000190734863,4.598999977111816,4.46999979019165,4.5,173800,0,0
2021-04-01,4.5,4.619999885559082,4.449999809265137,4.46999979019165,219800,0,0
2021-04-05,4.650000095367432,4.699999809265137,4.550000190734863,4.579999923706055,225800,0,0
2021-04-06,4.599999904632568,4.679999828338623,4.550000190734863,4.590000152587891,98700,0,0
2021-04-07,4.559999942779541,4.584000110626221,4.5,4.519999980926514,77900,0,0
2021-04-08,4.639999866485596,4.639999866485596,4.519999980926514,4.550000190734863,84500,0,0
2021-04-09,4.599999904632568,4.650000095367432,4.570000171661377,4.627999782562256,55200,0,0
2021-04-12,4.630000114440918,4.679999828338623,4.5,4.5,121800,0,0
2021-04-13,4.539999961853027,4.639999866485596,4.5,4.630000114440918,93800,0,0
2021-04-14,4.630000114440918,4.699999809265137,4.5,4.699999809265137,42600,0,0
2021-04-15,4.699999809265137,4.75,4.650000095367432,4.650000095367432,61600,0,0
2021-04-16,4.599999904632568,4.659999847412109,4.5,4.619999885559082,78200,0,0
2021-04-19,4.639999866485596,4.639999866485596,4.545000076293945,4.599999904632568,55300,0,0
2021-04-20,4.599999904632568,4.599999904632568,4.510000228881836,4.553999900817871,40300,0,0
2021-04-21,4.739999771118164,4.75,4.610000133514404,4.739999771118164,97600,0,0
2021-04-22,4.739999771118164,4.75,4.510000228881836,4.630000114440918,48100,0,0
2021-04-23,4.650000095367432,4.690000057220459,4.519999980926514,4.520999908447266,53500,0,0
