Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-01,10.0,10.0,9.949999809265137,9.949999809265137,4500,0,0
2021-03-02,10.0,10.0,9.850000381469727,9.899999618530273,48800,0,0
2021-03-03,9.989999771118164,10.0,9.8100004196167,9.84000015258789,27500,0,0
2021-03-04,9.850000381469727,9.850000381469727,9.8100004196167,9.850000381469727,6000,0,0
2021-03-05,9.84000015258789,9.869999885559082,9.800000190734863,9.857999801635742,3300,0,0
2021-03-08,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,1000,0,0
2021-03-09,9.885000228881836,9.885000228881836,9.800000190734863,9.800000190734863,103500,0,0
2021-03-10,9.850000381469727,9.850000381469727,9.800000190734863,9.8100004196167,103100,0,0
2021-03-11,9.817000389099121,9.880000114440918,9.817000389099121,9.880000114440918,9300,0,0
2021-03-12,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,800,0,0
2021-03-15,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,2100,0,0
2021-03-16,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,100,0,0
2021-03-17,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,7500,0,0
2021-03-18,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,0,0
2021-03-19,9.800000190734863,9.850000381469727,9.800000190734863,9.850000381469727,8200,0,0
2021-03-22,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,0,0
2021-03-23,9.770000457763672,9.770000457763672,9.6899995803833,9.6899995803833,5200,0,0
2021-03-24,9.6899995803833,9.6899995803833,9.6899995803833,9.6899995803833,0,0,0
2021-03-25,9.739999771118164,9.739999771118164,9.739999771118164,9.739999771118164,1100,0,0
2021-03-26,9.6899995803833,9.75,9.649999618530273,9.649999618530273,2600,0,0
2021-03-29,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0,0,0
2021-03-30,9.600000381469727,9.74899959564209,9.550000190734863,9.74899959564209,400100,0,0
2021-03-31,9.74899959564209,9.74899959564209,9.74899959564209,9.74899959564209,0,0,0
2021-04-01,9.800000190734863,9.850000381469727,9.800000190734863,9.850000381469727,103100,0,0
2021-04-05,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,500,0,0
2021-04-06,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,0,0,0
2021-04-07,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,1800,0,0
2021-04-08,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,0,0,0
2021-04-09,9.899999618530273,9.989999771118164,9.899999618530273,9.949999809265137,72700,0,0
2021-04-12,9.970000267028809,10.050000190734863,9.949999809265137,10.020000457763672,58200,0,0
2021-04-13,10.020000457763672,10.020000457763672,10.020000457763672,10.020000457763672,0,0,0
2021-04-14,9.949999809265137,10.0,9.949999809265137,10.0,2300,0,0
2021-04-15,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,200,0,0
2021-04-16,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,2500,0,0
2021-04-19,9.90999984741211,9.90999984741211,9.84000015258789,9.899999618530273,2600,0,0
2021-04-20,9.84000015258789,9.84000015258789,9.84000015258789,9.84000015258789,1200,0,0
2021-04-21,9.84000015258789,9.84000015258789,9.84000015258789,9.84000015258789,0,0,0
2021-04-22,9.84000015258789,9.84000015258789,9.84000015258789,9.84000015258789,0,0,0
2021-04-23,9.895000457763672,9.895000457763672,9.800000190734863,9.800000190734863,2200,0,0
2021-04-26,9.760000228881836,9.869999885559082,9.760000228881836,9.859999656677246,2400,0,0
2021-04-27,9.793000221252441,9.859999656677246,9.760000228881836,9.850000381469727,2500,0,0
2021-04-28,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,0,0
2021-04-29,9.84000015258789,9.850000381469727,9.84000015258789,9.84000015258789,1300,0,0
