Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-07-01,300.0,420.0,300.0,420.0,88,0,0.0
2010-07-02,420.0,420.0,420.0,420.0,0,0,0.0
2010-07-06,390.0,390.0,390.0,390.0,42,0,0.0
2010-07-07,390.0,402.0,384.0,384.0,13,0,0.0
2010-07-08,362.3999938964844,362.3999938964844,362.3999938964844,362.3999938964844,117,0,0.0
2010-07-09,362.3999938964844,362.3999938964844,362.3999938964844,362.3999938964844,138,0,0.0
2010-07-12,390.0,390.0,390.0,390.0,50,0,0.0
2010-07-13,360.0,360.0,360.0,360.0,10,0,0.0
2010-07-14,360.0,360.0,360.0,360.0,0,0,0.0
2010-07-15,360.0,360.0,360.0,360.0,0,0,0.0
2010-07-16,360.0,360.0,360.0,360.0,0,0,0.0
2010-07-19,420.0,420.0,420.0,420.0,42,0,0.0
2010-07-20,420.0,420.0,420.0,420.0,0,0,0.0
2010-07-21,360.0,360.0,336.0,348.0,93,0,0.0
2010-07-22,348.0,396.0,348.0,348.0,71,0,0.0
2010-07-23,348.0,348.0,348.0,348.0,0,0,0.0
2010-07-26,342.0,414.0,342.0,414.0,17,0,0.0
2010-07-27,360.0,360.0,360.0,360.0,11,0,0.0
2010-07-28,360.0,360.0,360.0,360.0,3,0,0.0
2010-07-29,360.0,360.0,360.0,360.0,0,0,0.0
2010-07-30,360.0,366.0,360.0,366.0,42,0,0.0
2010-08-02,366.0,372.0,366.0,372.0,31,0,0.0
2010-08-03,348.0,348.0,348.0,348.0,79,0,0.0
2010-08-04,348.0,348.0,342.0,342.0,18,0,0.0
2010-08-05,342.0,342.0,342.0,342.0,0,0,0.0
2010-08-06,366.0,366.0,360.0,360.0,32,0,0.0
2010-08-09,360.0,360.0,360.0,360.0,0,0,0.0
2010-08-10,414.0,516.0,414.0,516.0,23,0,0.0
2010-08-11,516.0,516.0,516.0,516.0,0,0,0.0
2010-08-12,516.0,516.0,510.0,516.0,41,0,0.0
2010-08-13,516.0,523.2000122070312,516.0,522.0,18,0,0.0
2010-08-16,540.0,564.0,540.0,564.0,138,0,0.0
2010-08-17,576.0,588.0,572.4000244140625,588.0,74,0,0.0
2010-08-18,588.0,594.0,588.0,594.0,62,0,0.0
2010-08-19,594.0,594.0,588.0,588.0,10,0,0.0
2010-08-20,594.0,612.0,594.0,612.0,86,0,0.0
2010-08-23,612.0,612.0,600.0,600.0,68,0,0.0
2010-08-24,624.0,624.0,600.0,600.0,35,0,0.0
2010-08-25,600.0,618.0,600.0,618.0,56,0,0.0
2010-08-26,624.0,624.0,624.0,624.0,30,0,0.0
2010-08-27,624.0,624.0,624.0,624.0,5,0,0.0
2010-08-30,624.0,642.0,618.0,636.0,75,0,0.0
2010-08-31,648.0,648.0,648.0,648.0,37,0,0.0
2010-09-01,648.0,648.0,648.0,648.0,6,0,0.0
2010-09-02,660.0,672.0,660.0,666.0,20,0,0.0
2010-09-03,666.0,666.0,666.0,666.0,28,0,0.0
2010-09-07,672.0,678.0,672.0,678.0,68,0,0.0
2010-09-08,720.0,750.0,696.0,750.0,429,0,0.0
2010-09-09,750.0,765.5999755859375,750.0,765.5999755859375,148,0,0.0
2010-09-10,780.0,787.2000122070312,778.7999877929688,787.2000122070312,102,0,0.0
2010-09-13,787.2000122070312,799.2000122070312,777.5999755859375,777.5999755859375,98,0,0.0
2010-09-14,780.0,780.0,780.0,780.0,9,0,0.0
2010-09-15,799.2000122070312,868.7999877929688,799.2000122070312,864.0,235,0,0.0
2010-09-16,868.7999877929688,868.7999877929688,822.0,846.0,179,0,0.0
2010-09-17,846.0,846.0,828.0,828.0,13,0,0.0
2010-09-20,852.0,873.5999755859375,826.7999877929688,873.5999755859375,83,0,0.0
2010-09-21,873.5999755859375,888.0,870.0,888.0,104,0,0.0
2010-09-22,892.7999877929688,896.4000244140625,892.7999877929688,896.4000244140625,54,0,0.0
2010-09-23,896.4000244140625,901.2000122070312,896.4000244140625,901.2000122070312,42,0,0.0
2010-09-24,901.2000122070312,915.5999755859375,901.2000122070312,915.5999755859375,66,0,0.0
2010-09-27,915.5999755859375,919.2000122070312,915.5999755859375,919.2000122070312,55,0,0.0
2010-09-28,921.5999755859375,921.5999755859375,870.0,882.0,133,0,0.0
2010-09-29,894.0,894.0,888.0,894.0,25,0,0.0
2010-09-30,894.0,894.0,894.0,894.0,25,0,0.0
2010-10-01,894.0,894.0,894.0,894.0,63,0,0.0
2010-10-04,864.0,900.0,864.0,900.0,54,0,0.0
2010-10-05,897.5999755859375,897.5999755859375,897.5999755859375,897.5999755859375,17,0,0.0
2010-10-06,900.0,906.0,900.0,906.0,17,0,0.0
2010-10-07,906.0,933.5999755859375,906.0,933.5999755859375,103,0,0.0
2010-10-08,933.5999755859375,945.5999755859375,933.5999755859375,933.5999755859375,368,0,0.0
2010-10-11,936.0,936.0,876.0,876.0,146,0,0.0
2010-10-12,870.0,898.7999877929688,870.0,898.7999877929688,27,0,0.0
2010-10-13,894.0,894.0,894.0,894.0,16,0,0.0
2010-10-14,894.0,894.0,894.0,894.0,22,0,0.0
2010-10-15,894.0,900.0,894.0,900.0,118,0,0.0
2010-10-18,906.0,906.0,894.0,906.0,23,0,0.0
2010-10-19,900.0,900.0,900.0,900.0,26,0,0.0
2010-10-20,840.0,840.0,840.0,840.0,8,0,0.0
2010-10-21,894.0,894.0,840.0,864.0,42,0,0.0
2010-10-22,852.0,894.0,852.0,894.0,99,0,0.0
2010-10-25,858.0,870.0,858.0,870.0,9,0,0.0
2010-10-26,864.0,864.0,858.0,858.0,8,0,0.0
2010-10-27,858.0,858.0,858.0,858.0,14,0,0.0
2010-10-28,852.0,852.0,840.0,840.0,21,0,0.0
2010-10-29,840.0,840.0,840.0,840.0,0,0,0.0
2010-11-01,840.0,840.0,840.0,840.0,0,0,0.0
2010-11-02,870.0,870.0,870.0,870.0,3,0,0.0
2010-11-03,828.0,840.0,828.0,840.0,5,0,0.0
2010-11-04,828.0,828.0,828.0,828.0,4,0,0.0
2010-11-05,840.0,840.0,840.0,840.0,2,0,0.0
2010-11-08,840.0,840.0,816.0,816.0,32,0,0.0
2010-11-09,828.0,840.0,822.0,822.0,33,0,0.0
2010-11-10,816.0,816.0,816.0,816.0,4,0,0.0
2010-11-11,808.7999877929688,810.0,808.7999877929688,810.0,33,0,0.0
2010-11-12,750.0,780.0,703.2000122070312,703.2000122070312,19,0,0.0
2010-11-15,768.0,840.0,768.0,810.0,84,0,0.0
2010-11-16,810.0,810.0,810.0,810.0,4,0,0.0
2010-11-17,840.0,840.0,828.0,828.0,18,0,0.0
2010-11-18,900.0,906.0,888.0,888.0,16,0,0.0
2010-11-19,888.0,888.0,888.0,888.0,1,0,0.0
2010-11-22,840.0,840.0,816.0,816.0,15,0,0.0
2010-11-23,792.0,852.0,792.0,852.0,17,0,0.0
2010-11-24,852.0,852.0,852.0,852.0,0,0,0.0
2010-11-26,852.0,852.0,852.0,852.0,0,0,0.0
2010-11-29,852.0,852.0,852.0,852.0,0,0,0.0
2010-11-30,852.0,852.0,720.0,792.0,83,0,0.0
2010-12-01,804.0,804.0,802.7999877929688,804.0,21,0,0.0
2010-12-02,840.0,840.0,720.0,768.0,38,0,0.0
2010-12-03,760.7999877929688,768.0,760.7999877929688,768.0,3,0,0.0
2010-12-06,768.0,768.0,768.0,768.0,0,0,0.0
2010-12-07,714.0,714.0,714.0,714.0,1,0,0.0
2010-12-08,714.0,840.0,714.0,793.2000122070312,9,0,0.0
2010-12-09,793.2000122070312,793.2000122070312,793.2000122070312,793.2000122070312,0,0,0.0
2010-12-10,793.2000122070312,793.2000122070312,793.2000122070312,793.2000122070312,0,0,0.0
2010-12-13,793.2000122070312,793.2000122070312,793.2000122070312,793.2000122070312,0,0,0.0
2010-12-14,750.0,750.0,750.0,750.0,4,0,0.0
2010-12-15,750.0,750.0,750.0,750.0,0,0,0.0
2010-12-16,750.0,750.0,750.0,750.0,1,0,0.0
2010-12-17,834.0,834.0,834.0,834.0,3,0,0.0
2010-12-20,834.0,840.0,834.0,840.0,72,0,0.0
2010-12-21,870.0,888.0,870.0,882.0,47,0,0.0
2010-12-22,882.0,894.0,870.0,894.0,41,0,0.0
2010-12-23,894.0,894.0,894.0,894.0,0,0,0.0
2010-12-27,960.0,990.0,930.0,990.0,67,0,0.0
2010-12-28,990.0,1020.0,990.0,1020.0,88,0,0.0
2010-12-29,984.0,1032.0,984.0,1032.0,73,0,0.0
2010-12-30,1020.0,1020.0,1020.0,1020.0,46,0,0.0
2010-12-31,1020.0,1020.0,1008.0,1020.0,77,0,0.0
2011-01-03,1032.0,1080.0,1020.0,1074.0,35,0,0.0
2011-01-04,1050.0,1074.0,1032.0,1032.0,17,0,0.0
2011-01-05,1074.0,1074.0,1050.0,1050.0,30,0,0.0
2011-01-06,1026.0,1026.0,1026.0,1026.0,4,0,0.0
2011-01-07,1062.0,1062.0,1050.0,1050.0,43,0,0.0
2011-01-10,1050.0,1068.0,1008.0,1018.7999877929688,248,0,0.0
2011-01-11,990.0,1020.0,870.0,1014.0,117,0,0.0
2011-01-12,930.0,978.0,840.0,960.0,198,0,0.0
2011-01-13,920.4000244140625,960.0,834.0,900.0,28,0,0.0
2011-01-14,900.0,900.0,804.0,888.0,129,0,0.0
2011-01-18,840.0,853.2000122070312,780.0,831.5999755859375,122,0,0.0
2011-01-19,840.0,840.0,720.0,720.0,34,0,0.0
2011-01-20,834.0,834.0,661.2000122070312,774.0,18,0,0.0
2011-01-21,696.0,768.0,696.0,759.5999755859375,86,0,0.0
2011-01-24,756.0,756.0,667.2000122070312,720.0,20,0,0.0
2011-01-25,680.4000244140625,702.0,680.4000244140625,681.5999755859375,45,0,0.0
2011-01-26,702.0,702.0,681.5999755859375,696.0,118,0,0.0
2011-01-27,684.0,684.0,606.0,636.0,96,0,0.0
2011-01-28,666.0,678.0,618.0,618.0,50,0,0.0
2011-01-31,624.0,690.0,624.0,672.0,123,0,0.0
2011-02-01,660.0,690.0,606.0,606.0,204,0,0.0
