Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-05-21,30.0,33.0,29.0,31.0,321075,0,0.0
1997-05-22,31.5,33.0,30.0,31.5,64925,0,0.0
1997-05-23,30.0,34.0,30.0,32.0,51075,0,0.0
1997-05-27,32.0,33.5,31.0,33.0,27975,0,0.0
1997-05-28,31.5,35.5,31.5,35.0,29250,0,0.0
1997-05-29,35.5,37.0,34.0,35.5,31650,0,0.0
1997-05-30,34.5,36.5,34.0,34.0,16775,0,0.0
1997-06-02,34.0,35.5,33.0,35.0,13225,0,0.0
1997-06-03,33.5,34.5,33.5,33.5,9375,0,0.0
1997-06-04,33.5,34.5,32.5,32.5,7825,0,0.0
1997-06-05,32.5,33.5,30.0,31.75,15025,0,0.0
1997-06-06,31.5,33.0,30.5,32.0,10650,0,0.0
1997-06-09,32.0,33.5,32.0,33.5,4350,0,0.0
1997-06-10,33.5,33.5,31.5,32.5,9550,0,0.0
1997-06-11,31.5,33.0,31.5,33.0,2825,0,0.0
1997-06-12,32.0,32.5,31.0,31.25,8675,0,0.0
1997-06-13,31.5,32.5,30.5,31.75,13725,0,0.0
1997-06-16,32.5,34.5,31.0,34.0,8975,0,0.0
1997-06-17,35.5,35.5,32.5,32.5,9825,0,0.0
1997-06-18,33.5,35.5,32.5,34.0,17650,0,0.0
1997-06-19,35.0,37.0,34.0,36.0,17275,0,0.0
1997-06-20,35.0,36.0,34.0,34.0,1325,0,0.0
1997-06-23,34.0,34.5,33.0,33.0,2850,0,0.0
1997-06-24,33.5,34.5,32.5,34.5,3300,0,0.0
1997-06-25,35.0,35.0,33.5,34.5,13300,0,0.0
1997-06-26,33.5,33.5,31.5,32.25,2475,0,0.0
1997-06-27,31.0,33.0,31.0,33.0,2500,0,0.0
1997-06-30,31.0,33.0,31.0,32.5,1350,0,0.0
1997-07-01,33.0,33.5,31.0,33.5,2700,0,0.0
1997-07-02,34.0,34.0,31.0,31.0,950,0,0.0
1997-07-03,33.5,33.5,31.125,32.25,450,0,0.0
1997-07-07,32.0,34.0,31.5,34.0,1625,0,0.0
1997-07-08,32.25,33.5,31.5,33.0,1250,0,0.0
1997-07-09,32.0,33.5,31.0,31.0,1675,0,0.0
1997-07-10,30.5,32.5,30.5,31.0,1175,0,0.0
1997-07-11,32.0,32.0,30.5,32.0,1675,0,0.0
1997-07-14,32.0,34.0,30.0,31.5,3500,0,0.0
1997-07-15,31.5,32.5,31.0,32.0,13625,0,0.0
1997-07-16,31.0,33.0,31.0,31.5,8625,0,0.0
1997-07-17,33.0,33.0,30.0,30.0,3625,0,0.0
1997-07-18,31.0,31.0,30.0,30.0,2900,0,0.0
1997-07-21,31.5,31.5,31.0,31.0,850,0,0.0
1997-07-22,32.5,32.5,30.0,30.0,1900,0,0.0
1997-07-23,31.5,31.5,29.5,29.75,4375,0,0.0
1997-07-24,30.5,32.0,29.5,30.0,14875,0,0.0
1997-07-25,30.0,32.0,30.0,30.0,7500,0,0.0
1997-07-28,31.5,31.5,30.0,30.5,4775,0,0.0
1997-07-29,30.0,30.0,30.0,30.0,700,0,0.0
1997-07-30,30.0,31.5,30.0,31.5,3000,0,0.0
1997-07-31,31.5,31.5,31.5,31.5,0,0,0.0
1997-08-01,30.0,31.5,29.0,31.0,3050,0,0.0
1997-08-04,30.0,30.0,30.0,30.0,1500,0,0.0
1997-08-05,30.0,30.0,29.5,30.0,4625,0,0.0
1997-08-06,30.0,31.0,29.0,30.0,3725,0,0.0
1997-08-07,31.0,33.5,31.0,33.5,25925,0,0.0
1997-08-08,34.0,34.0,32.0,32.0,875,0,0.0
1997-08-11,31.5,31.5,31.5,31.5,850,0,0.0
1997-08-12,31.5,32.5,30.0,30.0,950,0,0.0
1997-08-13,30.5,32.0,30.0,31.5,2250,0,0.0
1997-08-14,32.5,32.75,31.5,32.0,975,0,0.0
1997-08-15,31.5,31.625,30.5,30.5,2275,0,0.0
1997-08-18,30.0,30.0,30.0,30.0,200,0,0.0
1997-08-19,30.0,31.0,29.5,31.0,4575,0,0.0
1997-08-20,30.0,32.0,30.0,30.0,1550,0,0.0
1997-08-21,30.0,30.0,30.0,30.0,2000,0,0.0
1997-08-22,30.5,31.5,30.0,31.0,2850,0,0.0
1997-08-25,30.0,30.0,30.0,30.0,225,0,0.0
1997-08-26,30.0,32.0,30.0,30.5,2050,0,0.0
1997-08-27,30.0,30.5,30.0,30.5,525,0,0.0
1997-08-28,31.75,31.75,30.0,30.0,825,0,0.0
1997-08-29,29.5,31.5,29.0,31.0,3675,0,0.0
1997-09-02,30.0,31.0,30.0,30.5,12550,0,0.0
1997-09-03,29.5,29.5,28.0,29.5,13250,0,0.0
1997-09-04,29.0,31.0,29.0,30.5,54925,0,0.0
1997-09-05,31.5,32.0,30.0,31.0,1375,0,0.0
1997-09-08,30.5,31.5,30.5,31.5,250,0,0.0
1997-09-09,31.5,31.5,31.5,31.5,1400,0,0.0
1997-09-10,32.0,32.5,32.0,32.0,600,0,0.0
1997-09-11,32.0,32.0,30.5,30.5,1700,0,0.0
1997-09-12,31.5,31.5,31.5,31.5,400,0,0.0
