Holder,Shares,Date Reported,% Out,Value,ABV
Bard Associates Inc.,921700,2021-09-29,0.009000000000000001,760402,ASM
Wells Fargo & Company,615000,2021-09-29,0.006,507375,ASM
"Renaissance Technologies, LLC",169900,2021-09-29,0.0017000000000000001,140167,ASM
"Two Sigma Advisers, LP",132200,2021-09-29,0.0013,109065,ASM
Virtu Financial LLC,124039,2021-09-29,0.0012,102332,ASM
Morgan Stanley,95603,2021-09-29,0.0009,78872,ASM
Sicart Associates LLC,38100,2021-09-29,0.0004,31432,ASM
"Resource Management, Llc",17500,2021-09-29,0.0002,14437,ASM
"Advisor Group, Inc.",16743,2021-09-29,0.0002,13812,ASM
JustInvest LLC,13324,2021-09-29,0.0001,10992,ASM
